sample_id,source_mode,symbol,direction_guess,window_start,window_end,anchor_timestamp,anchor_timeframe,chart_path,html_path,execution_data_status,m1_candles_count,m5_candles_count,m15_candles_count,execution_window_start,execution_window_end,reviewer_should_skip_due_to_missing_ltf_data_manual,htf_liquidity_class_manual,ltf_liquidity_class_manual,multi_tf_alignment_manual,liquidity_taken_manual,liquidity_depth_quality_manual,shallow_liquidity_trap_manual,target_liquidity_available_manual,reaction_zone_present_manual,reaction_zone_type_manual,reaction_zone_age_quality_manual,fvg_valid_manual,ifvg_valid_manual,volume_crack_present_manual,volume_profile_clean_manual,number_theory_confluence_manual,adelin_v2_label_manual,would_trade_manual,no_trade_reason_manual,setup_quality_score_manual,reversal_or_continuation_manual,rare_ifvg_continuation_candidate_manual,expected_sl_pips_manual,sl_acceptable_manual,be_after_reaction_manual,early_close_candidate_manual,accumulation_after_entry_manual,m1_engulfing_against_manual,runner_target_manual,partial_management_manual,expected_target_area_manual,actual_reaction_quality_manual,actual_followthrough_quality_manual,reviewer_confidence_manual,reviewer_notes
sample_001,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-19T15:45:00+00:00,2026-05-19T20:15:00+00:00,2026-05-19T17:15:00+00:00,M15,charts/sample_001.svg,examples/sample_001.html,REVIEWABLE_M1_M5,251,50,16,2026-05-19T15:45:00+00:00,2026-05-19T20:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_002,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T13:45:00+00:00,2026-05-19T18:15:00+00:00,2026-05-19T15:15:00+00:00,M15,charts/sample_002.svg,examples/sample_002.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T13:45:00+00:00,2026-05-19T18:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_003,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T18:00:00+00:00,2026-05-19T22:30:00+00:00,2026-05-19T19:30:00+00:00,M15,charts/sample_003.svg,examples/sample_003.html,REVIEWABLE_M1_M5,116,23,7,2026-05-19T18:00:00+00:00,2026-05-19T22:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_004,CANDIDATE_WINDOW_MODE,XAUUSD,SHORT,2026-05-19T09:15:00+00:00,2026-05-19T13:45:00+00:00,2026-05-19T10:45:00+00:00,M15,charts/sample_004.svg,examples/sample_004.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T09:15:00+00:00,2026-05-19T13:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_005,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T06:45:00+00:00,2026-05-19T11:15:00+00:00,2026-05-19T08:15:00+00:00,M15,charts/sample_005.svg,examples/sample_005.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T06:45:00+00:00,2026-05-19T11:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_006,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-19T12:15:00+00:00,2026-05-19T16:45:00+00:00,2026-05-19T13:45:00+00:00,M15,charts/sample_006.svg,examples/sample_006.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T12:15:00+00:00,2026-05-19T16:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_007,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-18T05:45:00+00:00,2026-05-18T10:15:00+00:00,2026-05-18T07:15:00+00:00,M15,charts/sample_007.svg,examples/sample_007.html,REVIEWABLE_M1_M5,271,55,19,2026-05-18T05:45:00+00:00,2026-05-18T10:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_008,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-03-26T23:45:00+00:00,2026-03-27T04:15:00+00:00,2026-03-27T01:15:00+00:00,M15,charts/sample_008.svg,examples/sample_008.html,REVIEWABLE_M1_M5,256,52,18,2026-03-26T23:45:00+00:00,2026-03-27T04:15:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_009,CANDIDATE_WINDOW_MODE,XAUUSD,UNKNOWN,2026-05-19T10:30:00+00:00,2026-05-19T15:00:00+00:00,2026-05-19T12:00:00+00:00,M15,charts/sample_009.svg,examples/sample_009.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T10:30:00+00:00,2026-05-19T15:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_010,CANDIDATE_WINDOW_MODE,XAUUSD,LONG,2026-05-19T04:00:00+00:00,2026-05-19T08:30:00+00:00,2026-05-19T05:30:00+00:00,M15,charts/sample_010.svg,examples/sample_010.html,REVIEWABLE_M1_M5,271,55,19,2026-05-19T04:00:00+00:00,2026-05-19T08:30:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
